_id.courseId,_id.sectionId,_id.unitId,_id.%_complete,count
20,2,1,50,1
20,2,1,100,1
26,1,1,10,19
26,1,1,20,18
26,1,1,30,17
26,1,1,40,17
26,1,1,50,17
26,1,1,60,17
26,1,1,70,18
26,1,1,80,16
26,1,1,90,16
26,1,1,100,17
26,2,1,10,17
26,2,1,20,17
26,2,1,30,17
26,2,1,40,17
26,2,1,50,17
26,2,1,60,16
26,2,1,70,17
26,2,1,80,17
26,2,1,90,16
26,2,1,100,17
26,2,5,10,16
26,2,5,20,15
26,2,5,30,15
26,2,5,40,15
26,2,5,50,15
26,2,5,60,15
26,2,5,70,15
26,2,5,80,14
26,2,5,90,15
26,2,5,100,13
26,2,9,10,14
26,2,9,20,13
26,2,9,30,13
26,2,9,40,13
26,2,9,50,13
26,2,9,60,13
26,2,9,70,13
26,2,9,80,13
26,2,9,90,13
26,2,9,100,11
26,3,1,10,14
26,3,1,20,13
26,3,1,30,13
26,3,1,40,13
26,3,1,50,13
26,3,1,60,13
26,3,1,70,14
26,3,1,80,13
26,3,1,90,12
26,3,1,100,12
26,4,1,10,16
26,4,1,20,16
26,4,1,30,16
26,4,1,40,16
26,4,1,50,16
26,4,1,60,16
26,4,1,70,16
26,4,1,80,16
26,4,1,90,16
26,4,1,100,14
26,4,12,10,11
26,4,12,20,12
26,4,12,30,11
26,4,12,40,11
26,4,12,50,11
26,4,12,60,11
26,4,12,70,10
26,4,12,80,11
26,4,12,90,11
26,4,12,100,9
26,4,15,10,10
26,4,15,20,11
26,4,15,30,11
26,4,15,40,11
26,4,15,50,11
26,4,15,60,10
26,4,15,70,10
26,4,15,80,9
26,4,15,90,10
26,4,15,100,8
26,4,2,10,14
26,4,2,20,13
26,4,2,30,14
26,4,2,40,14
26,4,2,50,14
26,4,2,60,14
26,4,2,70,13
26,4,2,80,13
26,4,2,90,13
26,4,2,100,9
26,4,8,10,14
26,4,8,20,14
26,4,8,30,14
26,4,8,40,14
26,4,8,50,14
26,4,8,60,14
26,4,8,70,13
26,4,8,80,13
26,4,8,90,13
26,4,8,100,10
26,6,1,10,8
26,6,1,20,8
26,6,1,30,8
26,6,1,40,8
26,6,1,50,8
26,6,1,60,8
26,6,1,70,8
26,6,1,80,8
26,6,1,90,8
26,6,1,100,7
28,1,1,10,281
28,1,1,20,255
28,1,1,30,242
28,1,1,40,231
28,1,1,50,224
28,1,1,60,217
28,1,1,70,212
28,1,1,80,210
28,1,1,90,208
28,1,1,100,190
28,1,12,10,79
28,1,12,20,77
28,1,12,30,72
28,1,12,40,72
28,1,12,50,70
28,1,12,60,69
28,1,12,70,68
28,1,12,80,69
28,1,12,90,69
28,1,12,100,57
28,1,14,10,71
28,1,14,20,68
28,1,14,30,66
28,1,14,40,66
28,1,14,50,63
28,1,14,60,61
28,1,14,70,60
28,1,14,80,59
28,1,14,90,58
28,1,14,100,47
28,1,6,10,154
28,1,6,20,155
28,1,6,30,150
28,1,6,40,147
28,1,6,50,147
28,1,6,60,144
28,1,6,70,140
28,1,6,80,135
28,1,6,90,132
28,1,6,100,118
28,1,9,10,106
28,1,9,20,97
28,1,9,30,93
28,1,9,40,88
28,1,9,50,89
28,1,9,60,82
28,1,9,70,82
28,1,9,80,81
28,1,9,90,83
28,1,9,100,71
28,2,1,10,70
28,2,1,20,66
28,2,1,30,61
28,2,1,40,58
28,2,1,50,60
28,2,1,60,59
28,2,1,70,58
28,2,1,80,57
28,2,1,90,57
28,2,1,100,49
28,2,6,10,31
28,2,6,20,30
28,2,6,30,30
28,2,6,40,30
28,2,6,50,30
28,2,6,60,30
28,2,6,70,30
28,2,6,80,30
28,2,6,90,30
28,2,6,100,26
28,2,9,10,33
28,2,9,20,33
28,2,9,30,33
28,2,9,40,32
28,2,9,50,33
28,2,9,60,33
28,2,9,70,32
28,2,9,80,31
28,2,9,90,28
28,2,9,100,21
28,3,1,10,33
28,3,1,20,33
28,3,1,30,32
28,3,1,40,31
28,3,1,50,32
28,3,1,60,32
28,3,1,70,31
28,3,1,80,30
28,3,1,90,31
28,3,1,100,26
28,3,12,10,32
28,3,12,20,32
28,3,12,30,31
28,3,12,40,34
28,3,12,50,32
28,3,12,60,31
28,3,12,70,32
28,3,12,80,31
28,3,12,90,32
28,3,12,100,23
28,3,14,10,28
28,3,14,20,28
28,3,14,30,27
28,3,14,40,29
28,3,14,50,26
28,3,14,60,25
28,3,14,70,25
28,3,14,80,25
28,3,14,90,24
28,3,14,100,20
28,3,3,10,32
28,3,3,20,33
28,3,3,30,32
28,3,3,40,33
28,3,3,50,33
28,3,3,60,33
28,3,3,70,31
28,3,3,80,33
28,3,3,90,31
28,3,3,100,23
34,1,1,10,91
34,1,1,20,78
34,1,1,30,75
34,1,1,40,72
34,1,1,50,68
34,1,1,60,68
34,1,1,70,61
34,1,1,80,61
34,1,1,90,59
34,1,1,100,41
34,1,6,10,53
34,1,6,20,52
34,1,6,30,48
34,1,6,40,47
34,1,6,50,43
34,1,6,60,41
34,1,6,70,43
34,1,6,80,38
34,1,6,90,37
34,1,6,100,29
34,2,1,10,19
34,2,1,20,19
34,2,1,30,18
34,2,1,40,19
34,2,1,50,18
34,2,1,60,18
34,2,1,70,18
34,2,1,80,18
34,2,1,90,18
34,2,1,100,15
34,2,4,10,21
34,2,4,20,21
34,2,4,30,20
34,2,4,40,20
34,2,4,50,20
34,2,4,60,20
34,2,4,70,19
34,2,4,80,19
34,2,4,90,19
34,2,4,100,15
34,3,1,10,20
34,3,1,20,20
34,3,1,30,19
34,3,1,40,19
34,3,1,50,18
34,3,1,60,17
34,3,1,70,16
34,3,1,80,17
34,3,1,90,17
34,3,1,100,15
34,3,4,10,16
34,3,4,20,15
34,3,4,30,14
34,3,4,40,13
34,3,4,50,13
34,3,4,60,12
34,3,4,70,13
34,3,4,80,13
34,3,4,90,12
34,3,4,100,11
34,4,1,10,14
34,4,1,20,12
34,4,1,30,12
34,4,1,40,11
34,4,1,50,11
34,4,1,60,11
34,4,1,70,10
34,4,1,80,10
34,4,1,90,10
34,4,1,100,6
34,4,10,10,6
34,4,10,20,6
34,4,10,30,6
34,4,10,40,6
34,4,10,50,6
34,4,10,60,6
34,4,10,70,6
34,4,10,80,5
34,4,10,90,5
34,4,10,100,4
34,4,3,10,9
34,4,3,20,9
34,4,3,30,9
34,4,3,40,9
34,4,3,50,9
34,4,3,60,9
34,4,3,70,9
34,4,3,80,9
34,4,3,90,9
34,4,3,100,8
34,5,1,10,10
34,5,1,20,9
34,5,1,30,8
34,5,1,40,8
34,5,1,50,8
34,5,1,60,8
34,5,1,70,6
34,5,1,80,7
34,5,1,90,7
34,5,1,100,3
34,5,4,10,6
34,5,4,20,6
34,5,4,30,6
34,5,4,40,6
34,5,4,50,5
34,5,4,60,5
34,5,4,70,5
34,5,4,80,4
34,5,4,90,5
34,5,4,100,3
39,1,1,10,304
39,1,1,20,271
39,1,1,30,260
39,1,1,40,250
39,1,1,50,244
39,1,1,60,238
39,1,1,70,237
39,1,1,80,230
39,1,1,90,221
39,1,1,100,158
39,1,5,10,177
39,1,5,20,171
39,1,5,30,163
39,1,5,40,160
39,1,5,50,161
39,1,5,60,161
39,1,5,70,161
39,1,5,80,158
39,1,5,90,156
39,1,5,100,128
39,2,10,10,81
39,2,10,20,69
39,2,10,30,65
39,2,10,40,63
39,2,10,50,64
39,2,10,60,66
39,2,10,70,63
39,2,10,80,66
39,2,10,90,70
39,2,10,100,50
39,2,4,10,157
39,2,4,20,153
39,2,4,30,153
39,2,4,40,149
39,2,4,50,149
39,2,4,60,145
39,2,4,70,139
39,2,4,80,136
39,2,4,90,135
39,2,4,100,94
39,2,9,10,102
39,2,9,20,91
39,2,9,30,82
39,2,9,40,87
39,2,9,50,81
39,2,9,60,80
39,2,9,70,75
39,2,9,80,76
39,2,9,90,74
39,2,9,100,51
39,3,12,10,42
39,3,12,20,37
39,3,12,30,32
39,3,12,40,26
39,3,12,50,23
39,3,12,60,25
39,3,12,70,24
39,3,12,80,26
39,3,12,90,29
39,3,12,100,23
39,3,7,10,72
39,3,7,20,73
39,3,7,30,69
39,3,7,40,68
39,3,7,50,68
39,3,7,60,66
39,3,7,70,65
39,3,7,80,66
39,3,7,90,64
39,3,7,100,54
39,4,10,10,29
39,4,10,20,27
39,4,10,30,23
39,4,10,40,19
39,4,10,50,17
39,4,10,60,17
39,4,10,70,16
39,4,10,80,20
